,revenue,reward_id,campaign_id,application_id
2014-07-26 00:00:29.257095,0.499,53d2ef9d-361c-c0d1-9015-6525c28c8564,18,3
2014-07-26 00:00:30.468959,0.149,53d2ef9e-72f3-84bf-a243-78ae58d1626f,4,0
2014-07-26 00:00:43.396503,0.149,53d2efab-91fb-ec54-3435-40a502e34e83,4,3
2014-07-26 00:01:01.234404,0.149,53d2efbd-8f91-db89-12d3-c373bcde9c30,4,3
2014-07-26 00:01:15.100982,0.149,53d2efcb-3e74-a234-f986-938765766950,4,0
2014-07-26 00:01:35.760390,0.149,53d2efdf-235c-baf5-2642-5c105f6cca7f,4,0
2014-07-26 00:02:03.475626,0.899,53d2effb-9758-e1a5-c401-55021c5386e4,25,1
2014-07-26 00:02:35.829639,0.149,53d2f01b-797e-ab2c-69b5-d56a2fb2c985,4,2
2014-07-26 00:02:40.893969,0.45,53d2f020-6d97-f07f-5b49-3b3bc9218554,65,3
2014-07-26 00:03:38.671921,0.899,53d2f05a-8af7-c95d-b9aa-4c6ecfaa1b7c,25,1
2014-07-26 00:03:46.488533,0.149,53d2f062-2fdf-c621-3bbf-18bc3b482d58,43,0
2014-07-26 00:04:23.660648,0.149,53d2f087-a684-b734-6cde-cfbc74c39acb,4,2
2014-07-26 00:04:32.652611,0.149,53d2f090-9603-143e-c083-5c39d7b2cf97,4,3
2014-07-26 00:05:31.533883,0.149,53d2f0cb-04e8-79bc-ac02-5b884dcb08b1,43,0
2014-07-26 00:05:59.650241,0.149,53d2f0e7-2628-cf9b-c775-18680eade356,4,2
2014-07-26 00:06:16.547496,0.45,53d2f0f8-2af5-a70c-bdfb-1fdb6864d49b,10,1
2014-07-26 00:06:31.137765,0.899,53d2f107-7c10-345e-3503-337eb6fb4dd6,25,1
2014-07-26 00:07:48.717066,0.149,53d2f154-f848-80ac-a56e-23223950a274,4,3
2014-07-26 00:08:03.736328,0.149,53d2f163-5f43-1b37-622b-53f559a9f5b4,4,3
2014-07-26 00:08:17.325344,0.899,53d2f171-e788-0f46-fc45-182ad2803716,25,1
2014-07-26 00:08:33.334829,0.149,53d2f181-a704-63ef-050a-e6c491a39a74,4,3
2014-07-26 00:08:51.331590,0.64,53d2f193-4b0b-7b52-e73f-60cae4240318,7,1
2014-07-26 00:08:52.557524,0.899,53d2f194-c0d4-e5ca-5dab-45ad084cdfbc,25,3
2014-07-26 00:08:55.756059,0.899,53d2f197-1527-4b43-e29d-ddf7fe4728f6,25,1
2014-07-26 00:08:58.744866,0.149,53d2f19a-216e-81f9-6950-218266a83df7,4,0
2014-07-26 00:09:26.501251,0.299,53d2f1b6-894c-954a-4dd9-8da1f1fd9a83,15,3
2014-07-26 00:10:04.624228,0.299,53d2f1dc-5a54-7e38-06d2-8ee24504a5d9,15,1
2014-07-26 00:10:10.879684,1.0,53d2f1e2-eec5-0ebe-a0dd-5194127eaed0,0,3
2014-07-26 00:10:34.241420,0.149,53d2f1fa-1127-523e-994c-1c524283749a,4,2
2014-07-26 00:10:36.118572,0.349,53d2f1fc-9e20-4761-cb0f-54d0bf656b8a,3,1
2014-07-26 00:10:45.027299,0.149,53d2f205-3d24-ad6d-e656-674d77590e53,4,3
2014-07-26 00:11:07.411324,0.849,53d2f21b-adb0-c4df-a607-39c6f1d73af4,31,3
2014-07-26 00:11:16.797531,0.499,53d2f224-1918-b509-c0d0-28f59831540c,38,1
2014-07-26 00:12:11.743245,0.2,53d2f25b-cb6f-8455-1a8e-faa7634da838,37,0
2014-07-26 00:12:24.907982,0.45,53d2f268-a36b-1de2-74ab-0bb3d9e9bec8,12,1
